,ID,CommentsTokenizedStemmed
29,3179,"['i', 'wish', 'the', 'handset', 'was', 'bigger', '.', 'it', 'is', 'uncomfort', 'use', 'the', 'handset', 'for', 'a', 'long', 'time', '.']"
30,2317,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
31,3771,"['realli', 'is', 'unhappi', 'with', 'the', 'websit', '.', 'claim', 'the', 'self', 'servic', 'stuff', 'doe', 'not', 'work', '.', 'in', 'addit', 'think', 'he', 'phone', 'doe', 'not', 'work', 'well', '.']"
32,2491,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
33,956,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
34,3135,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
35,3236,"['want', 'a', 'new', 'facepl', '.']"
36,976,"['want', 'an', 'address', 'chang', '.']"
37,2870,"['he', 'lost', 'his', 'phone', 'and', 'call', 'to', 'cancel', 'servic', '.', 'i', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'he', 'will', 'contact', 'us', 'soon', '.']"
38,2329,"['cant', 'get', 'his', 'call', 'forward', 'to', 'work', '.', 'i', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'coupl', 'of', 'other', 'featur', 'to', 'work', '.', 'i', 'also', 'point', 'him', 'to', 'the', 'web', 'site', '.']"
39,1379,"['he', 'is', 'realli', 'unhappi', 'with', 'his', 'bill', '.', 'he', 'say', 'that', 'there', 'are', 'numer', 'call', 'he', 'has', 'never', 'made', ',', 'but', 'that', 'show', 'up', 'on', 'his', 'phone', '.', 'he', 'say', 'that', 'he', 'simpli', 'doe', 'not', 'trust', 'our', 'system', '.']"
40,1333,"['he', 'doe', 'not', 'know', 'if', 'the', 'problem', 'are', 'relat', 'to', 'the', 'phone', 'or', 'if', 'it', 'is', 'just', 'the', 'batteri', '.']"
41,2659,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
42,690,"['hope', 'to', 'get', 'an', 'additon', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
43,2608,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
44,2775,"['realli', 'is', 'unhappi', 'with', 'the', 'websit', '.', 'claim', 'the', 'self', 'servic', 'stuff', 'doe', 'not', 'work', '.', 'in', 'addit', 'think', 'he', 'phone', 'doe', 'not', 'work', 'well', '.']"
45,2851,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
46,587,"['he', 'ask', 'for', 'a', 'new', 'phone', 'number', '.', 'i', 'refer', 'him', 'to', 'custom', 'care', '.']"
47,3056,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
48,1246,"['the', 'handset', 'realli', 'suck', '.', 'i', 'could', 'not', 'hear', 'anyth', 'near', 'my', 'hous', '.']"
49,1307,"['handset', 'suck']"
50,1166,"['hope', 'to', 'get', 'an', 'additon', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
51,2584,"['ask', 'how', 'to', 'disabl', 'call', 'wait', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
52,1225,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
53,3409,"['i', 'suspect', 'that', 'the', 'handset', 'on', 'my', 'phone', 'was', 'defect', 'from', 'the', 'day', 'i', 'bought', 'it', '.']"
54,1808,"['the', 'recept', 'near', 'his', 'home', 'is', 'realli', 'horribl', '.', 'he', 'know', 'exact', 'when', 'his', 'call', 'will', 'drop', '.', 'he', 'want', 'to', 'know', 'what', 'we', 'are', 'go', 'to', 'do', 'to', 'fix', 'this', '?', 'he', 'say', 'that', 'if', 'we', 'do', 'not', 'fix', 'it', 'he', 'will', 'go', 'to', 'a', 'differ', 'cell', 'compani', 'and', 'sinc', 'we', 'can', 'not', 'keep', 'our', 'end', 'of', 't']"
55,3180,"['he', 'hate', 'his', 'phone', '.', 'he', 'can', 'not', 'understand', 'whi', 'we', 'gave', 'him', 'such', 'a', 'horribl', 'piec', 'of', 'rubbish', '.', 'i', 'tri', 'to', 'explain', 'that', 'he', 'could', 'bring', 'it', 'in', 'for', 'servic', ',', 'but', 'he', 'just', 'want', 'a', 'new', 'phone', '.', 'he', 'doe', 'not', 'want', 'to', 'wast', 'ani', 'more', 'time', 'with', 'the', '3399', '.', 'i', 'ask', 'custom', 'car']"
56,1499,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
57,772,"['i', 'expect', 'signific', 'better', 'servic', '.']"
58,442,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
59,1646,"['want', 'to', 'chang', 'adress', '.']"
60,2236,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
61,1782,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
62,1148,"['he', 'lost', 'his', 'phone', 'and', 'call', 'to', 'cancel', 'servic', '.', 'i', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'he', 'will', 'contact', 'us', 'soon', '.']"
63,916,"['want', 'to', 'add', 'anoth', 'phone', '.', 'contact', 'provis', '.']"
64,488,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
65,2341,"['he', 'lost', 'his', 'phone', 'and', 'call', 'to', 'cancel', 'servic', '.', 'i', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'he', 'will', 'contact', 'us', 'soon', '.']"
66,1360,"['cant', 'figur', 'out', 'how', 'to', 'check', 'his', 'vm', 'when', 'out', 'of', 'area', '.', 'i', 'refer', 'him', 'to', 'our', 'web', 'site', '.']"
67,140,"['he', 'lost', 'his', 'phone', 'and', 'call', 'to', 'cancel', 'servic', '.', 'i', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'he', 'will', 'contact', 'us', 'soon', '.']"
68,827,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
69,1085,"['transfer', 'to', 'manag', 'asap']"
70,1110,"['realli', 'want', 'the', 'new', 'phone', 'from', 'xvyx', 'which', 'has', 'the', 'pda', 'built', 'in', '.']"
71,1282,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
72,983,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
73,2909,"['hope', 'to', 'get', 'an', 'additon', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
74,3300,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
75,2611,"['lost', 'his', 'charger', 'and', 'want', 'to', 'know', 'where', 'he', 'can', 'anoth', 'asap', '.', 'i', 'suggest', 'local', 'store', '.']"
76,3002,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
77,2993,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
78,1779,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
79,1448,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
80,3420,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
81,1645,"['cant', 'get', 'his', 'call', 'forward', 'to', 'work', '.', 'i', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'coupl', 'of', 'other', 'featur', 'to', 'work', '.', 'i', 'also', 'point', 'him', 'to', 'the', 'web', 'site', '.']"
82,900,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
83,2140,"['i', 'need', 'a', 'handset', 'which', 'also', 'function', 'as', 'a', 'pda', '.', 'you', 'did', 'not', 'offer', 'such', 'a', 'model', '.']"
84,1087,"['he', 'expect', 'signific', 'better', 'technic', 'support', '.']"
85,3716,"['he', 'expect', 'signific', 'better', 'technic', 'support', '.']"
86,3156,"['want', 'to', 'add', 'anoth', 'phone', '.', 'contact', 'provis', '.']"
87,2485,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
88,719,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
89,2771,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
90,3725,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
91,3785,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
92,782,"['she', 'want', 'a', 'new', 'phone', '.', 'has', 'tri', 'to', 'use', 'a', 'coupl', 'of', 'differ', 'model', ',', 'but', 'is', 'now', 'fed', 'up', '.', 'she', 'is', 'will', 'ing', 'to', 'pay', 'some', 'of', 'the', 'cost', ',', 'but', 'want', 'a', 'credit', 'on', 'her', 'bill', '.', 'she', 'said', 'her', 'friend', 'has', 'the', 'same', 'servic', 'and', 'a', 'differ', 'phone', 'that', 'work', 'great', '.', 'she', 'also', 'wa']"
93,2891,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
94,2414,"['the', 'signal', 'on', 'my', 'handset', 'was', 'alway', 'weak', '.', 'even', 'when', 'i', 'replac', 'the', 'batteri', '.']"
95,1346,"['transfer', 'to', 'manag', 'asap']"
96,2082,"['he', 'lost', 'his', 'phone', 'and', 'call', 'to', 'cancel', 'servic', '.', 'i', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'he', 'will', 'contact', 'us', 'soon', '.']"
97,1277,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
98,954,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
99,1018,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
100,83,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
101,36,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
102,1119,"['he', 'ask', 'for', 'a', 'new', 'phone', 'number', '.', 'i', 'refer', 'him', 'to', 'custom', 'care', '.']"
103,239,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
104,3676,"['lost', 'the', 'direct', 'to', 'phone', 'and', 'want', 'anoth', 'manual', '.', 'i', 'refer', 'him', 'to', 'web', 'site', '.']"
105,1831,"['he', 'doe', 'not', 'know', 'if', 'the', 'problem', 'are', 'relat', 'to', 'the', 'phone', 'or', 'if', 'it', 'is', 'just', 'the', 'batteri', '.']"
106,2516,"['call', 'about', 'new', 'plan', '.', 'might', 'switch', 'soon', '.', 'want', 'more', 'minut', '.']"
107,3207,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
108,2624,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
109,803,"['veri', 'unhappi', 'with', 'new', 'phone', 'becaus', 'it', 'doe', 'not', 'use', 'a', 'simm', 'chip', '.', 'he', 'say', 'he', 'wll', 'have', 'to', 'reenter', 'all', 'his', 'inform', 'in', 'his', 'phone', 'book', 'and', 'he', 'find', 'that', 'a', 'wast', 'of', 'time', '.', 'claim', 'other', 'compani', 'use', 'simm', 'to', 'make', 'this', 'easier', 'with', 'their', 'phone', '.']"
110,2963,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
111,1545,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
112,626,"['want', 'to', 'add', 'addit', 'line', 'for', 'famili', '.', 'need', 'more', 'info', 'on', 'rate', '.']"
113,2185,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
114,3416,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
115,560,"['ask', 'how', 'to', 'disabl', 'call', 'wait', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
116,473,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
117,3430,"['want', 'a', 'new', 'number', 'becaus', 'he', 'keep', 'on', 'get', 'call', 'for', 'a', 'mr.', 'napeleon', 'leroy', '.']"
118,2247,"['call', 'about', 'new', 'plan', '.', 'might', 'switch', 'soon', '.', 'want', 'more', 'minut', '.']"
119,2672,"['he', 'hate', 'his', 'phone', '.', 'he', 'can', 'not', 'understand', 'whi', 'we', 'gave', 'him', 'such', 'a', 'horribl', 'piec', 'of', 'rubbish', '.', 'i', 'tri', 'to', 'explain', 'that', 'he', 'could', 'bring', 'it', 'in', 'for', 'servic', ',', 'but', 'he', 'just', 'want', 'a', 'new', 'phone', '.', 'he', 'doe', 'not', 'want', 'to', 'wast', 'ani', 'more', 'time', 'with', 'the', '3399', '.', 'i', 'ask', 'custom', 'car']"
120,2855,"['cant', 'get', 'his', 'call', 'forward', 'to', 'work', '.', 'i', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'coupl', 'of', 'other', 'featur', 'to', 'work', '.', 'i', 'also', 'point', 'him', 'to', 'the', 'web', 'site', '.']"
121,3631,"['hope', 'to', 'get', 'an', 'additon', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
122,3118,"['he', 'lost', 'his', 'phone', 'and', 'call', 'to', 'cancel', 'servic', '.', 'i', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'he', 'will', 'contact', 'us', 'soon', '.']"
123,1229,"['realli', 'want', 'the', 'new', 'phone', 'from', 'xvyx', 'which', 'has', 'the', 'pda', 'built', 'in', '.']"
124,3301,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
125,198,"['want', 'inform', 'on', 'our', 'internet', 'servic', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
126,3170,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
127,2460,"['want', 'a', 'new', 'facepl', '.']"
128,3261,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
129,1465,"['want', 'to', 'chang', 'rate', 'plan', 'to', 'get', 'famili', 'all', 'on', 'same', 'bill', '.', 'i', 'transfer', 'him', 'to', 'custom', 'care', '.']"
130,1851,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
131,3451,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
132,3541,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
133,791,"['the', 'custom', 'has', 'a', 'number', 'of', 'complaint', '.', 'his', 'major', 'issu', 'was', 'that', 'the', 'handset', 'button', 'were', 'hard', 'to', 'use', '.', 'he', 'was', 'not', 'happi', 'with', 'the', 'phone', 'at', 'all', '.']"
134,1098,"['realli', 'want', 'the', 'new', 'phone', 'from', 'xvyx', 'which', 'has', 'the', 'pda', 'built', 'in', '.']"
135,743,"['the', 'handset', 'never', 'work', 'well', 'after', 'i', 'drop', 'it', 'in', 'the', 'toilet', '.', 'i', 'am', 'surpris', 'it', 'ever', 'work', 'after', 'that', '.']"
136,1377,"['he', 'say', 'that', 'his', 'phone', 'work', 'fine', 'when', 'use', 'it', 'in', 'the', 'car', 'with', 'the', 'adapt', ',', 'but', 'the', 'batteri', 'perform', 'suck', '.', 'he', 'can', 'not', 'wait', 'to', 'chang', 'phone', '.', 'he', 'want', 'to', 'know', 'if', 'we', 'would', 'send', 'him', 'a', 'new', 'phone', '.']"
137,1770,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
138,3769,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
139,2175,"['cant', 'figur', 'out', 'how', 'to', 'check', 'his', 'vm', 'when', 'out', 'of', 'area', '.', 'i', 'refer', 'him', 'to', 'our', 'web', 'site', '.']"
140,779,"['say', 'that', 'his', 'web', 'recept', 'realli', 'is', 'just', 'to', 'slow', '.', 'want', 'to', 'know', 'when', 'he', 'can', 'expect', 'this', 'to', 'work', 'at', 'a', 'decent', 'rate', 'of', 'speed', '?', 'he', 'also', 'want', 'to', 'know', 'whi', 'it', 'work', 'so', 'much', 'better', 'at', 'the', 'store', '?']"
141,3084,"['ask', 'how', 'to', 'disabl', 'call', 'wait', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
142,574,"['he', 'say', 'that', 'his', 'phone', 'work', 'fine', 'when', 'use', 'it', 'in', 'the', 'car', 'with', 'the', 'adapt', ',', 'but', 'the', 'batteri', 'perform', 'suck', '.']"
143,2992,"['want', 'a', 'new', 'facepl', '.']"
144,931,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
145,2393,"['want', 'to', 'get', 'an', 'addit', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', '.', 'forward', 'him', 'on', 'to', 'cstmr', 'care', '.']"
146,3303,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
147,741,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
148,2267,"['realli', 'is', 'unhappi', 'with', 'the', 'websit', '.', 'claim', 'the', 'self', 'servic', 'stuff', 'doe', 'not', 'work', '.']"
149,577,"['claim', 'the', 'phone', 'doe', 'not', 'work', 'well', '.', 'if', 'the', 'phone', 'doe', 'not', 'work', 'consist', 'whi', 'should', 'he', 'pay', 'consisit', '.', 'good', 'point', '.']"
150,3165,"['i', 'suspect', 'that', 'the', 'handset', 'on', 'my', 'phone', 'was', 'defect', 'from', 'the', 'day', 'i', 'bought', 'it', '.']"
151,2144,"['i', 'suspect', 'that', 'the', 'handset', 'on', 'my', 'phone', 'was', 'defect', 'from', 'the', 'day', 'i', 'bought', 'it', '.']"
152,686,"['ask', 'for', 'a', 'chang', 'of', 'address', 'and', 'want', 'to', 'switch', 'plan', '.', 'transeff', 'him', 'to', 'customr', 'care', '.']"
153,339,"['handset', 'suck']"
154,418,"['want', 'a', 'new', 'facepl', '.']"
155,1104,"['he', 'ask', 'for', 'a', 'new', 'phone', 'number', '.', 'i', 'refer', 'him', 'to', 'custom', 'care', '.']"
156,3712,"['i', 'expect', 'signific', 'better', 'technic', 'support', '.']"
157,2275,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
158,3272,"['want', 'to', 'add', 'addit', 'line', 'for', 'famili', '.', 'need', 'more', 'info', 'on', 'rate', '.']"
159,3767,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
160,3481,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
161,3441,"['he', 'found', 'a', 'phone', 'and', 'want', 'to', 'know', 'what', 'to', 'do', 'with', 'it', '.', 'he', 'said', 'it', 'was', 'one', 'of', 'our', ',', 'but', 'that', 'the', 'batteri', 'was', 'dead', '.', 'ask', 'who', 'he', 'should', 'send', 'it', 'too', '.']"
162,2565,"['want', 'to', 'get', 'an', 'addit', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'goat', '.']"
163,3035,"['need', 'help', 'figur', 'out', 'his', 'bill', '.', 'i', 'explain', 'our', 'minut', 'charg', '.']"
164,114,"['want', 'to', 'add', 'addit', 'line', 'for', 'famili', '.', 'need', 'more', 'info', 'on', 'rate', '.']"
165,3705,"['i', 'expect', 'signific', 'better', 'technic', 'support', '.']"
166,3078,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
